Complexity metrics,joi, 12 ian. 2023 10:26:12 EET
Method,CogC,ev(G),iv(G),v(G)
"sn.socialnetwork.repo.FriendshipDatabaseRepo.getRemoveQuery(Connection, Long)",0,1,1,1
sn.socialnetwork.repo.FriendshipDatabaseRepo.getSelectQuery(Connection),0,1,1,1
"sn.socialnetwork.repo.FriendshipDatabaseRepo.getUpdateQuery(Connection, Friendship)",0,1,1,1
"sn.socialnetwork.repo.FriendshipFileRepo.FriendshipFileRepo(String, IValidator<Friendship>)",0,1,1,1
sn.socialnetwork.repo.FriendshipFileRepo.entityAsString(Friendship),0,1,1,1
sn.socialnetwork.repo.FriendshipFileRepo.extractEntity(List<String>),0,1,1,1
sn.socialnetwork.repo.InMemoryRepo.InMemoryRepo(IValidator<E>),0,1,1,1
sn.socialnetwork.repo.InMemoryRepo.add(E),2,3,1,3
sn.socialnetwork.repo.InMemoryRepo.getAll(),0,1,1,1
sn.socialnetwork.repo.InMemoryRepo.getById(ID),0,1,1,1
sn.socialnetwork.repo.InMemoryRepo.remove(ID),2,2,2,3
sn.socialnetwork.repo.InMemoryRepo.update(E),1,2,1,2
"sn.socialnetwork.repo.MessageFileRepo.MessageFileRepo(String, IValidator<Message>)",0,1,1,1
sn.socialnetwork.repo.MessageFileRepo.entityAsString(Message),0,1,1,1
sn.socialnetwork.repo.MessageFileRepo.extractEntity(List<String>),0,1,1,1
sn.socialnetwork.repo.UserDatabaseRepo.UserDatabaseRepo(IValidator<User>),0,1,1,1
"sn.socialnetwork.repo.UserDatabaseRepo.UserDatabaseRepo(String, String, String, IValidator<User>)",0,1,1,1
sn.socialnetwork.repo.UserDatabaseRepo.buildEntity(ResultSet),0,1,1,1
"sn.socialnetwork.repo.UserDatabaseRepo.getByIdQuery(Connection, Long)",0,1,1,1
"sn.socialnetwork.repo.UserDatabaseRepo.getInsertQuery(Connection, User)",0,1,1,1
"sn.socialnetwork.repo.UserDatabaseRepo.getRemoveQuery(Connection, Long)",0,1,1,1
sn.socialnetwork.repo.UserDatabaseRepo.getSelectQuery(Connection),0,1,1,1
"sn.socialnetwork.repo.UserDatabaseRepo.getUpdateQuery(Connection, User)",0,1,1,1
"sn.socialnetwork.repo.UserFileRepo.UserFileRepo(String, IValidator<User>)",0,1,1,1
sn.socialnetwork.repo.UserFileRepo.entityAsString(User),0,1,1,1
sn.socialnetwork.repo.UserFileRepo.extractEntity(List<String>),0,1,1,1
sn.socialnetwork.reports.AbstractReport.AbstractReport(ReportType),0,1,1,1
sn.socialnetwork.reports.AbstractReport.toString(),0,1,1,1
sn.socialnetwork.reports.CombinedReport.CombinedReport(),0,1,1,1
sn.socialnetwork.reports.CombinedReport.add(AbstractReport),0,1,1,1
sn.socialnetwork.reports.CombinedReport.toString(),0,1,1,1
sn.socialnetwork.reports.Report.Report(E),0,1,1,1
"sn.socialnetwork.reports.Report.Report(E, ReportType)",0,1,1,1
sn.socialnetwork.reports.Report.getTarget(),0,1,1,1
sn.socialnetwork.reports.Report.toString(),0,1,1,1
sn.socialnetwork.reports.actions.AddReport.AddReport(E),0,1,1,1
sn.socialnetwork.reports.actions.AddReport.toString(),0,1,1,1
sn.socialnetwork.reports.actions.RemoveReport.RemoveReport(E),0,1,1,1
sn.socialnetwork.reports.actions.RemoveReport.toString(),0,1,1,1
sn.socialnetwork.reports.actions.UpdateReport.UpdateReport(E),0,1,1,1
sn.socialnetwork.reports.actions.UpdateReport.toString(),0,1,1,1
sn.socialnetwork.service.Auth.Auth(Network),0,1,1,1
"sn.socialnetwork.service.Auth.login(String, String)",2,2,2,3
"sn.socialnetwork.service.Community.Community(Network, Long)",0,1,1,1
"sn.socialnetwork.service.Community.addFriends(Long, Long)",0,1,1,1
"sn.socialnetwork.service.Community.addItem(Long, Long)",2,1,3,3
sn.socialnetwork.service.Community.contains(Long),0,1,1,1
sn.socialnetwork.service.Community.discover(Long),8,1,4,4
sn.socialnetwork.service.Community.getLongestPathLength(),19,5,5,9
sn.socialnetwork.service.Community.size(),0,1,1,1
sn.socialnetwork.service.Community.toString(),0,1,1,1
"sn.socialnetwork.service.FriendshipService.FriendshipService(IRepo<Long, Friendship>)",0,1,1,1
sn.socialnetwork.service.FriendshipService.add(Friendship),2,2,2,3
sn.socialnetwork.service.FriendshipService.generateNewId(),0,1,1,1
"sn.socialnetwork.service.MessageService.MessageService(IRepo<Long, Message>)",0,1,1,1
sn.socialnetwork.service.MessageService.generateNewId(),0,1,1,1
"sn.socialnetwork.service.Network.Network(IService<Long, User>, IService<Long, Friendship>, IService<Long, Message>)",0,1,1,1
sn.socialnetwork.service.Network.addFriendship(Friendship),0,1,1,1
sn.socialnetwork.service.Network.addMessage(Message),0,1,1,1
sn.socialnetwork.service.Network.addUser(User),0,1,1,1
sn.socialnetwork.service.Network.communitiesCount(),0,1,1,1
sn.socialnetwork.service.Network.getAllFriendships(),0,1,1,1
sn.socialnetwork.service.Network.getAllUsers(),0,1,1,1
